# IrisCard/SetPositionList

RIGHT:&edit(,noicon){SetPositionListを編集};

**セット位置索引 [#setposition]
//本ページでは、武器、服、胸のイリスカードを記述

***武器 [#weapon]
|~No.|~名称|~レア度|~属性|~ベクトル|~備考|
|AC23-1020|[[ニーズホッグ>IrisCard/ExIrisCard0#AC23-1020]]|&COLOR(#ffa500){''R''};|-|[[技術力強化>Iris/Explanation#tb_gijutu]]|胸も可|
|AC23-1030|[[フレースヴェルグ>IrisCard/ExIrisCard0#AC23-1030]]|&COLOR(#ffa500){''R''};|-|[[知力強化>Iris/Explanation#tb_tiryoku]]|胸も可|
|AC23-3010|[[植物種族モンスターズ>IrisCard/ExIrisCard0#AC23-3010]]|''C''|-|[[植物種族アドバンテージ>Iris/Explanation#tb_PlantAdvantage]]||
|AC23-3040|[[昆虫種族モンスターズ>IrisCard/ExIrisCard0#AC23-3040]]|''C''|-|[[昆虫種族アドバンテージ>Iris/Explanation#tb_InsectAdvantage]]||
|AC23-3050|[[水中生物種族モンスターズ>IrisCard/ExIrisCard0#AC23-3050]]|''C''|-|[[水中生物種族アドバンテージ>Iris/Explanation#tb_WaterAnimalAdvantage]]||
|AC23-3100|[[精霊種族モンスターズ>IrisCard/ExIrisCard0#AC23-3100]]|''C''|-|[[精霊種族アドバンテージ>Iris/Explanation#tb_ElementAdvantage]]||
|AC24-0020|[[ネコマタたちの武器>IrisCard/ExIrisCard0#AC24-0020]]|&COLOR(#FF0099){''SR''};|-|[[ロックオン>Iris/Explanation#tb_LockOn]]||
|AC24-2010|[[ルーデルとアルノー>IrisCard/ExIrisCard0#AC24-2010]]|&COLOR(#0000ff){''UC''};|-|[[トップブリーダーの心得>Iris/Explanation#tb_topBreeder]]||
|AC24-2030|[[秘密の場所>IrisCard/ExIrisCard0#AC24-2030]]|&COLOR(#0000ff){''UC''};|無|[[体力強化>Iris/Explanation#tb_tairyoku]]|武器も可|
|~|~|~|~|[[知力強化>Iris/Explanation#tb_tiryoku]]|~|
|~|~|~|~|[[技術力強化>Iris/Explanation#tb_gijutu]]|~|
|AC24-3030|[[ウェストー開拓地の釣具屋店員>IrisCard/ExIrisCard0#AC24-3030]]|''C''|-|[[知力強化>Iris/Explanation#tb_tiryoku]]||
|AC24-3060|[[ワイルドダック>IrisCard/ExIrisCard0#AC24-3060]]|''C''|-|[[ディスペルサポート>Iris/Explanation#tb_dispel]]||
|AC24-3080|[[フグローブ>IrisCard/ExIrisCard0#AC24-3080]]|''C''|-|[[アウェイクサポート>Iris/Explanation#tb_awake]]||
|AC24-3100|[[ダイヤモンドとの出会い>IrisCard/ExIrisCard0#AC24-3100]]|''C''|無|[[深愛の絆>Iris/Explanation#tb_shinai]]|武器も可|
|AC25-0020|[[フレア>IrisCard/ExIrisCard1#AC25-0020]]|&COLOR(#FF0099){''SR''};|-|[[時空の導き手>Iris/Explanation#tb_Zikuu]]|武器も可|
|AC25-1040|[[フォルセティ>IrisCard/ExIrisCard1#AC25-1040]]|&COLOR(#ffa500){''R''};|-|[[ダメージコントロール>Iris/Explanation#tb_damageControl]]||
|AC25-2010|[[アイスベルク>IrisCard/ExIrisCard1#AC25-2010]]|&COLOR(#0000ff){''UC''};|-|[[インテグレーション>Iris/Explanation#tb_integration]]|胸も可|
|AC25-2020|[[ノーザン王国の民>IrisCard/ExIrisCard1#AC25-2020]]|&COLOR(#0000ff){''UC''};|無|[[スティグマータ>Iris/Explanation#tb_stigmata]]|武器も可|
|AC25-3050|[[コッソとドーロ>IrisCard/ExIrisCard1#AC25-3050]]|''C''|-|[[イベイジョンステップ>Iris/Explanation#tb_evasionstep]]||
|AC25-3060|[[アンジェラとリヴ>IrisCard/ExIrisCard1#AC25-3060]]|''C''|-|[[灰燼の招手>Iris/Explanation#tb_kaijin]]||
|AC25-3080|[[ノーザン地下の研究員>IrisCard/ExIrisCard1#AC25-3080]]|''C''|-|[[アーマービルダー>Iris/Explanation#tb_armor]]||
|AC25-3090|[[旅人のメモ>IrisCard/ExIrisCard1#AC25-3090]]|''C''|無|[[体力強化>Iris/Explanation#tb_tairyoku]]||
|AC26-0010|[[プルル・アルマ>IrisCard/NormalIrisCard#AC26-0010]]|&COLOR(#FF0099){''SR''};|-|[[ナローエスケープ>Iris/Explanation#tb_narrowescape]]||
|~|~|~|~|[[HP最大上昇>Iris/Explanation#tb_HpMaxUp]]|~|
|AC26-1010|[[アミス先生とぷるぷる>IrisCard/NormalIrisCard#AC26-1010]]|&COLOR(#ffa500){''R''};|-|[[真心の絆>Iris/Explanation#tb_tiesofcordiality]]||
|AC26-2030|[[シャボタン・アルマ>IrisCard/NormalIrisCard#AC26-2030]]|&COLOR(#0000ff){''UC''};|-|[[コンフュージョンプロテクト>Iris/Explanation#tb_confusionprotect]]||
|AC26-2050|[[バルル・アルマ>IrisCard/NormalIrisCard#AC26-2050]]|&COLOR(#0000ff){''UC''};|-|[[スタンプロテクト>Iris/Explanation#tb_stunprotect]]||
|AC26-2080|[[サラマンダー・アルマ>IrisCard/NormalIrisCard#AC26-2080]]|&COLOR(#0000ff){''UC''};|-|[[アイスプロテクト>Iris/Explanation#tb_iceprotect]]||
|AC26-2110|[[オートメディック・アルマ>IrisCard/NormalIrisCard#AC26-2110]]|&COLOR(#0000ff){''UC''};|-|[[ポイズンプロテクト>Iris/Explanation#tb_poisonprotect]]||
|AC26-3030|[[アミス先生の飛空庭>IrisCard/NormalIrisCard#AC26-3030]]|''C''|無|-||
|AC27-1010|[[アルカードと清姫>IrisCard/NormalIrisCard#AC27-1010]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器も可|
|~|~|~|~|[[トップブリーダーの基礎>Iris/Explanation#tb_topBreederBase]]|~|
|AC27-1020|[[ル･フェイとバステト>IrisCard/NormalIrisCard#AC27-1020]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器/胸も可|
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC27-1030|[[キャプテンキッドと玉藻>IrisCard/NormalIrisCard#AC27-1030]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器/胸も可|
|~|~|~|~|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]|~|
|AC27-1040|[[ローレライとパラケルスス>IrisCard/NormalIrisCard#AC27-1040]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器/胸も可|
|~|~|~|~|[[インテリジェンスサポート>Iris/Explanation#tb_Intelligence]]|~|
|AC27-1050|[[ワーウルフとメフィスト>IrisCard/NormalIrisCard#AC27-1050]]|&COLOR(#ffa500){''R''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|胸も可|
|AC27-1060|[[ルチフェロとステラ>IrisCard/NormalIrisCard#AC27-1060]]|&COLOR(#ffa500){''R''};|BGCOLOR(BLACK):COLOR(WHITE):光/闇|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器も可|
|AC27-2010|[[アルカード・ロア>IrisCard/NormalIrisCard#AC27-2010]]|&COLOR(#0000ff){''UC''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器も可|
|AC27-2020|[[清姫・ロア>IrisCard/NormalIrisCard#AC27-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器も可|
|AC27-2030|[[ル・フェイ・ロア>IrisCard/NormalIrisCard#AC27-2030]]|&COLOR(#0000ff){''UC''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|胸も可|
|~|~|~|~|[[マジックプラス>Iris/Explanation#tb_masicPlus]]|~|
|AC27-2050|[[キャプテンキッド・ロア>IrisCard/NormalIrisCard#AC27-2050]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器も可|
|AC27-2060|[[玉藻・ロア>IrisCard/NormalIrisCard#AC27-2060]]|&COLOR(#0000ff){''UC''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器/胸も可|
|AC27-2070|[[ローレライ・ロア>IrisCard/NormalIrisCard#AC27-2070]]|&COLOR(#0000ff){''UC''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器/胸も可|
|~|~|~|~|[[水中生物種族ボーナス>Iris/Explanation#tb_WaterAnimalBonus]]|~|
|AC27-2080|[[パラケルスス・ロア>IrisCard/NormalIrisCard#AC27-2080]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[記憶の書架>Iris/Explanation#tb_bookshelves]]||
|AC27-2090|[[ワーウルフ・ロア>IrisCard/NormalIrisCard#AC27-2090]]|&COLOR(#0000ff){''UC''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|胸も可|
|~|~|~|~|[[ウェポンプラス>Iris/Explanation#tb_weaponPlus]]|~|
|AC27-2110|[[ルチフェロ・ロア>IrisCard/NormalIrisCard#AC27-2110]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器も可|
|AC27-2120|[[ステラ・ロア>IrisCard/NormalIrisCard#AC27-2120]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器も可|
|AC28-0010|[[タイニー・アルマ>IrisCard/ExIrisCard1#AC28-0010]]|&COLOR(#FF0099){''SR''};|-|[[マリオネットの加護>Iris/Explanation#tb_MarionetteKago]]||
|AC28-1030|[[パイレーツタイニー>IrisCard/ExIrisCard1#AC28-1030]]|&COLOR(#ffa500){''R''};|-|[[スティグマータ>Iris/Explanation#tb_stigmata]]|武器も可|
|AC28-2020|[[ご当地タイニー（関東）>IrisCard/ExIrisCard1#AC28-2020]]|&COLOR(#0000ff){''UC''};|-|[[技術力強化>Iris/Explanation#tb_gijutu]]||
|AC28-2040|[[ご当地タイニー（近畿）>IrisCard/ExIrisCard1#AC28-2040]]|&COLOR(#0000ff){''UC''};|-|[[知力強化>Iris/Explanation#tb_tiryoku]]||
|AC28-3030|[[タイニー応援団>IrisCard/ExIrisCard1#AC28-3030]]|''C''|-|[[マーズの賛助>Iris/Explanation#tb_Mars]]||
|AC28-3040|[[タイニーエンジェル>IrisCard/ExIrisCard1#AC28-3040]]|''C''|-|[[体力強化>Iris/Explanation#tb_tairyoku]]||
|AC29-3030|[[ダウンタウン>IrisCard/NormalIrisCard#AC29-3030]]|''C''|-|[[交渉の心得>Iris/Explanation#tb_Negotiation]]|胸も可|
|AC29-3050|[[モーグシティ>IrisCard/NormalIrisCard#AC29-3050]]|''C''|-|[[交渉の心得>Iris/Explanation#tb_Negotiation]]||
|~|~|~|~|[[パッケージの心得>Iris/Explanation#tb_packag]]|~|
|AC29-3080|[[トンカシティ>IrisCard/NormalIrisCard#AC29-3080]]|''C''|-|[[飛空城の達人>Iris/Explanation#tb_FlyCastle]]|武器も可|
|AC29-3090|[[マイマイ島>IrisCard/NormalIrisCard#AC29-3090]]|''C''|-|[[釣り大物確率上昇>Iris/Explanation#tb_FishingBig]]|胸も可|
|AC29-3100|[[ウォーターレイアー>IrisCard/NormalIrisCard#AC29-3100]]|''C''|-|[[釣りレア確率上昇>Iris/Explanation#tb_FishingRare]]|胸も可|
|~|~|~|~|[[釣り大物確率上昇>Iris/Explanation#tb_FishingBig]]|~|
|AC29-3180|[[海底洞窟>IrisCard/NormalIrisCard#AC29-3180]]|''C''|-|[[釣りレア確率上昇>Iris/Explanation#tb_FishingRare]]|胸も可|
|AC30-0010|[[終淵に立つ最強の竜>IrisCard/ExIrisCard1#AC30-0010]]|&COLOR(#FF0099){''SR''};|-|[[マジックブレイズン>Iris/Explanation#tb_Magic_b]]||
|~|~|~|~|[[トランスセンス>Iris/Explanation#tb_Transsense]]|~|
|AC30-0020|[[白銀の機竜>IrisCard/ExIrisCard1#AC30-0020]]|&COLOR(#FF0099){''SR''};|-|[[アサルトブレイズン>Iris/Explanation#tb_assault_b]]||
|~|~|~|~|[[フロントライン>Iris/Explanation#tb_Front]]|~|
|AC30-2010|[[ディメンション石炭の入手>IrisCard/ExIrisCard1#AC30-2010]]|&COLOR(#0000ff){''UC''};|-|[[ファストサポート>Iris/Explanation#tb_fast]]||
|AC30-2030|[[ディメンション氷石の入手>IrisCard/ExIrisCard1#AC30-2030]]|&COLOR(#0000ff){''UC''};|-|[[リフレッシュサポート>Iris/Explanation#tb_refresh]]||
|AC30-3020|[[鉄のとげの入手>IrisCard/ExIrisCard1#AC30-3020]]|''C''|-|[[オフェンシブサポート>Iris/Explanation#tb_Offensive]]||
|AC30-3040|[[ホカホカ石でサウナ！>IrisCard/ExIrisCard1#AC30-3040]]|''C''|-|[[ヒーティングサポート>Iris/Explanation#tb_heating]]||
|AC30-3060|[[キラービーを退治しよう！>IrisCard/ExIrisCard1#AC30-3060]]|''C''|-|[[イベイジョンステップ>Iris/Explanation#tb_evasionstep]]||
|~|~|~|~|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]|~|
|AC31-0010|[[ウィッカ・アラディア>IrisCard/ExIrisCard1#AC31-0010]]|&COLOR(#FF0099){''SR''};|-|[[灰燼の招手>Iris/Explanation#tb_kaijin]]||
|AC31-2010|[[マンドラハバネロ>IrisCard/ExIrisCard1#AC31-2010]]|&COLOR(#0000ff){''UC''};|-|[[武器属性上昇（火）>Iris/Explanation#tb_FireWeapon]]||
|AC31-2020|[[コソドロインス>IrisCard/ExIrisCard1#AC31-2020]]|&COLOR(#0000ff){''UC''};|-|[[武器属性上昇（水）>Iris/Explanation#tb_WaterWeapon]]||
|AC31-2030|[[サボッテン>IrisCard/ExIrisCard1#AC31-2030]]|&COLOR(#0000ff){''UC''};|-|[[武器属性上昇（風）>Iris/Explanation#tb_WindWeapon]]||
|AC31-2040|[[ハニーワファイター>IrisCard/ExIrisCard1#AC31-2040]]|&COLOR(#0000ff){''UC''};|-|[[武器属性上昇（土）>Iris/Explanation#tb_EarthWeapon]]||
|AC31-3090|[[イリスカードポスター>IrisCard/ExIrisCard1#AC31-3090]]|''C''|-|[[初心の心得>Iris/Explanation#tb_Syosin]]||
|AC32-0020|[[Ｃａｒｄｉａ>IrisCard/ExIrisCard1#AC32-0020]]|&COLOR(#FF0099){''SR''};|-|[[憑依の心得>Iris/Explanation#tb_HyouiKokoroe]]|胸も可|
|AC32-0010|[[フェリオン>IrisCard/ExIrisCard1#AC32-0010]]|&COLOR(#FF0099){''SR''};|-|[[トランスセンス>Iris/Explanation#tb_Transsense]]||
|~|~|~|~|[[フロントライン>Iris/Explanation#tb_Front]]|~|
|AC32-1010|[[スフィンクス>IrisCard/ExIrisCard1#AC32-1010]]|&COLOR(#ffa500){''R''};|-|[[トップブリーダーの心得>Iris/Explanation#tb_topBreeder]]||
|AC32-2040|[[カーマイン砂漠のオアシス>IrisCard/ExIrisCard1#AC32-2040]]|&COLOR(#0000ff){''UC''};|-|[[ダメージコントロール>Iris/Explanation#tb_damageControl]]||
|AC32-3090|[[ラクダーン愛好家>IrisCard/ExIrisCard1#AC32-3090]]|''C''|-|[[トップブリーダーの心得>Iris/Explanation#tb_topBreeder]]||
|~|~|~|~|[[マーキュリーの喝采>Iris/Explanation#tb_Mercury]]|~|
|AC33-0010|[[紙芝居屋>IrisCard/NormalIrisCard#AC33-0010]]|&COLOR(#FF0099){''SR''};|-|[[記憶の書架>Iris/Explanation#tb_bookshelves]]|武器/胸も可|
|AC33-0020|[[アルマ全員集合！２>IrisCard/NormalIrisCard#AC33-0020]]|&COLOR(#FF0099){''SR''};|-|[[パッケージの心得>Iris/Explanation#tb_packag]]|胸も可|
|AC33-1020|[[受付嬢>IrisCard/NormalIrisCard#AC33-1020]]|&COLOR(#ffa500){''R''};|無|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|AC33-2060|[[タランチュラ・アルマ>IrisCard/NormalIrisCard#AC33-2060]]|&COLOR(#0000ff){''UC''};|-|[[力強化成功率上昇>Iris/Explanation#tb_powerEnhance]]||
|AC33-2070|[[ベア・アルマ>IrisCard/NormalIrisCard#AC33-2070]]|&COLOR(#0000ff){''UC''};|-|[[クリティカル強化成功率上昇>Iris/Explanation#tb_criticalEnhance]]||
|AC33-2100|[[マミー・アルマ>IrisCard/NormalIrisCard#AC33-2100]]|&COLOR(#0000ff){''UC''};|-|[[魔力強化成功率上昇>Iris/Explanation#tb_magicEnhance]]||
|AC33-2120|[[ブーフ・アルマ>IrisCard/NormalIrisCard#AC33-2120]]|&COLOR(#0000ff){''UC''};|-|[[命強化成功率上昇>Iris/Explanation#tb_lifeEnhanceUp]]||
|AC33-3020|[[なんでもクエストカウンター>IrisCard/NormalIrisCard#AC33-3020]]|''C''|-|[[交渉の心得>Iris/Explanation#tb_Negotiation]]|武器も可|
|AC34-0020|[[２足歩行ロボ（強化外装）>IrisCard/ExIrisCard1#AC34-0020]]|&COLOR(#FF0099){''SR''};|-|[[コンバットエンジニア>Iris/Explanation#tb_CombatEngineer]]|武器も可|
|AC34-1010|[[ライドクローラー>IrisCard/ExIrisCard1#AC34-1010]]|&COLOR(#ffa500){''R''};|-|[[デスパレートアヴォイド>Iris/Explanation#tb_DesperateAvoid]]|武器も可|
|AC34-1020|[[ダークドラゴ>IrisCard/ExIrisCard1#AC34-1020]]|&COLOR(#ffa500){''R''};|-|[[トップブリーダーの秘訣>Iris/Explanation#tb_topBreederhiketu]]||
|AC34-3010|[[カーズド・チェア>IrisCard/ExIrisCard1#AC34-3010]]|''C''|-|[[魔法の心得>Iris/Explanation#tb_Mahou]]||
|AC34-3020|[[海賊船・マーチャント号>IrisCard/ExIrisCard1#AC34-3020]]|''C''|-|[[体力強化>Iris/Explanation#tb_tairyoku]]|武器も可|
|AC34-3040|[[キラキラほうき星>IrisCard/ExIrisCard1#AC34-3040]]|''C''|-|[[クリプティックフォース>Iris/Explanation#tb_crypticforce]]||
|AC34-3050|[[みんなの鍋>IrisCard/ExIrisCard1#AC34-3050]]|''C''|-|[[エクセレントテイスト>Iris/Explanation#tb_excellentTaste]]||
|AC34-3090|[[勝利のボール>IrisCard/ExIrisCard1#AC34-3090]]|''C''|-|[[アサルトブレイズン>Iris/Explanation#tb_assault_b]]||
|AC35-0010|[[オルトス>IrisCard/ExIrisCard1#AC35-0010]]|&COLOR(#FF0099){''SR''};|-|[[奈落の番人>Iris/Explanation#tb_narakuGuard]]|胸も可|
|AC35-1030|[[ナイアーラトテップ>IrisCard/ExIrisCard1#AC35-1030]]|&COLOR(#ffa500){''R''};|-|[[マルチプロテクション>Iris/Explanation#tb_multiProtection]]||
|AC35-2030|[[モーモーエンペラー>IrisCard/ExIrisCard1#AC35-2030]]|&COLOR(#0000ff){''UC''};|無|[[コンビネーションアドバンス>Iris/Explanation#tb_combinationAdvance]]||
|AC35-2040|[[アビスマスク>IrisCard/ExIrisCard1#AC35-2040]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|[[コンビネーションアドバンス>Iris/Explanation#tb_combinationAdvance]]||
|AC35-2050|[[アヴァランシェ>IrisCard/ExIrisCard1#AC35-2050]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|[[コンビネーションアドバンス>Iris/Explanation#tb_combinationAdvance]]||
|AC35-3030|[[奈落階層受付>IrisCard/ExIrisCard1#AC35-3030]]|''C''|-|[[時空の導き手>Iris/Explanation#tb_Zikuu]]||
|AC35-3040|[[奈落の鑑定屋>IrisCard/ExIrisCard1#AC35-3040]]|''C''|-|[[コンバットエンジニア>Iris/Explanation#tb_CombatEngineer]]||
|AC35-3060|[[ログポイント>IrisCard/ExIrisCard1#AC35-3060]]|''C''|-|[[スティグマータ>Iris/Explanation#tb_stigmata]]||
|AC36-0020|[[Ａｎｅｍｏｎｅ>IrisCard/ExIrisCard1#AC36-0020]]|&COLOR(#FF0099){''SR''};|-|[[コンビネーションアドバンス>Iris/Explanation#tb_combinationAdvance]]||
|AC36-3010|[[グラディエイター>IrisCard/ExIrisCard1#AC36-3010]]|''C''|-|[[アサルトエンハンス>Iris/Explanation#tb_AssaultEnhance]]||
|AC36-3030|[[ホークアイ>IrisCard/ExIrisCard1#AC36-3030]]|''C''|-|[[スタミナリダクション>Iris/Explanation#tb_staminareduction]]||
|AC36-3040|[[フォースマスター>IrisCard/ExIrisCard1#AC36-3040]]|''C''|-|[[スペルエンハンス>Iris/Explanation#tb_SpellEnhance]]||
|AC36-3050|[[アストラリスト>IrisCard/ExIrisCard1#AC36-3050]]|''C''|-|[[マジックリダクション>Iris/Explanation#tb_magicreduction]]||
|AC36-3080|[[ハーヴェスト>IrisCard/ExIrisCard1#AC36-3080]]|''C''|-|[[マリオネットの守護>Iris/Explanation#tb_MarionetteSyugo]]||
|AC36-3090|[[ロイヤルディーラー>IrisCard/ExIrisCard1#AC36-3090]]|''C''|-|[[ブレイブエンハンス>Iris/Explanation#tb_BraveEnhance]]||
|AC37-3010|[[１時間目>IrisCard/NormalIrisCard#AC37-3010]]|''C''|-|[[フェイタルインフェクト>Iris/Explanation#tb_fatalinfect]]||
|AC37-3020|[[２時間目>IrisCard/NormalIrisCard#AC37-3020]]|''C''|-|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]|武器も可|
|AC37-3030|[[３時間目>IrisCard/NormalIrisCard#AC37-3030]]|''C''|-|[[パートナーの底力>Iris/Explanation#tb_partnerLatentPower]]|胸も可|
|AC37-3040|[[４時間目>IrisCard/NormalIrisCard#AC37-3040]]|''C''|-|[[憑依の基礎>Iris/Explanation#tb_transBasic]]||
|AC37-3050|[[５時間目>IrisCard/NormalIrisCard#AC37-3050]]|''C''|-|[[飛空城の達人>Iris/Explanation#tb_FlyCastle]]|胸も可|
|AC37-3060|[[６時間目>IrisCard/NormalIrisCard#AC37-3060]]|''C''|-|[[真心の絆>Iris/Explanation#tb_tiesofcordiality]]|胸も可|
|AC37-3080|[[８時間目>IrisCard/NormalIrisCard#AC37-3080]]|''C''|-|[[トップブリーダーの基礎>Iris/Explanation#tb_topBreederBase]]||
|AC37-3090|[[９時間目>IrisCard/NormalIrisCard#AC37-3090]]|''C''|-|[[おしゃれの極意>Iris/Explanation#tb_stylish]]||
|AC37-3130|[[タイニーゼロ・アルマ＋>IrisCard/NormalIrisCard#AC37-3130]]|''C''|-|[[パートナーの底力>Iris/Explanation#tb_partnerLatentPower]]|胸も可|
|~|~|~|~|[[パートナーとの絆>Iris/Explanation#tb_tiesOfPartner]]|~|
|AC37-3150|[[収集好きの大商人>IrisCard/NormalIrisCard#AC37-3150]]|''C''|-|[[交渉の心得>Iris/Explanation#tb_Negotiation]]||
|~|~|~|~|[[パッケージの心得>Iris/Explanation#tb_packag]]|~|
|AC37-3160|[[デイ＆リー>IrisCard/NormalIrisCard#AC37-3160]]|''C''|-|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]|胸も可|
|~|~|~|~|[[ナローエスケープ>Iris/Explanation#tb_narrowescape]]|~|
|AC37-3170|[[ウィーク>IrisCard/NormalIrisCard#AC37-3170]]|''C''|-|[[釣りレア確率上昇>Iris/Explanation#tb_FishingRare]]|胸も可|
|~|~|~|~|[[釣り大物確率上昇>Iris/Explanation#tb_FishingBig]]|~|
|AC38-0010|[[トップアイドル・リリー>IrisCard/ExIrisCard1#AC38-0010]]|&COLOR(#FF0099){''SR''};|-|[[マリオネットの守護>Iris/Explanation#tb_MarionetteSyugo]]||
|AC38-1010|[[搭乗型パワードスーツ>IrisCard/ExIrisCard1#AC38-1010]]|&COLOR(#ffa500){''R''};|-|[[アサルトエンハンス>Iris/Explanation#tb_AssaultEnhance]]||
|AC38-1020|[[オフロードバギー>IrisCard/ExIrisCard1#AC38-1020]]|&COLOR(#ffa500){''R''};|-|[[ブレイブエンハンス>Iris/Explanation#tb_BraveEnhance]]||
|AC38-1030|[[ハンプティ・ダンプティ>IrisCard/ExIrisCard1#AC38-1030]]|&COLOR(#ffa500){''R''};|-|[[スペルエンハンス>Iris/Explanation#tb_SpellEnhance]]||
|AC38-2010|[[妖怪・ライジュウ>IrisCard/ExIrisCard1#AC38-2010]]|&COLOR(#0000ff){''UC''};|-|[[スタミナリダクション>Iris/Explanation#tb_staminareduction]]||
|AC38-2030|[[白面金毛九尾ノ狐>IrisCard/ExIrisCard1#AC38-2030]]|&COLOR(#0000ff){''UC''};|-|[[マジックリダクション>Iris/Explanation#tb_magicreduction]]||
|AC38-2040|[[蒸気機関飛行船>IrisCard/ExIrisCard1#AC38-2040]]|&COLOR(#0000ff){''UC''};|-|[[コンバットエンジニア>Iris/Explanation#tb_CombatEngineer]]||
|AC38-3010|[[インペリアルバイク（赤）>IrisCard/ExIrisCard1#AC38-3010]]|''C''|-|[[ファストサポート>Iris/Explanation#tb_fast]]|武器も可|
|AC38-3020|[[通学用電動自動二輪>IrisCard/ExIrisCard1#AC38-3020]]|''C''|-|[[インテリジェンスサポート>Iris/Explanation#tb_Intelligence]]|武器も可|
|AC38-3030|[[傀儡のスフィンクス>IrisCard/ExIrisCard1#AC38-3030]]|''C''|-|[[ヒーティングサポート>Iris/Explanation#tb_heating]]|武器も可|
|AC38-3040|[[ファンタジア・ビブリオ>IrisCard/ExIrisCard1#AC38-3040]]|''C''|-|[[ポテンシャルサポート>Iris/Explanation#tb_]]|武器も可|
|AC38-3050|[[浪漫の人力車>IrisCard/ExIrisCard1#AC38-3050]]|''C''|-|[[オフェンシブサポート>Iris/Explanation#tb_Potential]]|武器も可|
|AC38-3060|[[暗黒劇場>IrisCard/ExIrisCard1#AC38-3060]]|''C''|-|[[アウェイクサポート>Iris/Explanation#tb_awake]]|武器も可|
|AC38-3070|[[フライングパンプキン>IrisCard/ExIrisCard1#AC38-3070]]|''C''|-|[[リフレッシュサポート>Iris/Explanation#tb_refresh]]|武器も可|
|AC38-3080|[[遊泳のガラス球>IrisCard/ExIrisCard1#AC38-3080]]|''C''|-|[[ディスペルサポート>Iris/Explanation#tb_dispel]]|武器も可|
|AC39-4020|[[御魂・ヒスイ>IrisCard/NormalIrisCard#AC39-4020]]|&COLOR(#FF0099){''SR''};|-|[[マリオネットの加護>Iris/Explanation#tb_MarionetteKago]]||
|AC39-5010|[[御魂全員集合！>IrisCard/NormalIrisCard#AC39-5010]]|&COLOR(#ffa500){''R''};|-|[[パートナーの援け>Iris/Explanation#tb_helpOfPartner]]||
|AC39-6010|[[御魂・ミコト>IrisCard/NormalIrisCard#AC39-6010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|-|武器も可|
|AC39-6020|[[御魂・メイ>IrisCard/NormalIrisCard#AC39-6020]]|&COLOR(#0000ff){''UC''};|-|[[ピュアテイスト>Iris/Explanation#tb_pureTaste]]||
|AC39-6030|[[御魂・ライ>IrisCard/NormalIrisCard#AC39-6030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|-|武器も可|
|AC39-6050|[[御魂・セレス>IrisCard/NormalIrisCard#AC39-6050]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CC99FF):闇|-|武器も可|
|AC39-6060|[[御魂・ルリ>IrisCard/NormalIrisCard#AC39-6060]]|&COLOR(#0000ff){''UC''};|-|[[パートナーの護り>Iris/Explanation#tb_guardOfPartner]]|武器も可|
|AC39-6070|[[御魂・フォルテ>IrisCard/NormalIrisCard#AC39-6070]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#CCFFFF):光|-|武器も可|
|AC39-6080|[[御魂・エリーゼ>IrisCard/NormalIrisCard#AC39-6080]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|-|武器も可|
