# Iris/Ability/Table

#author("2017-04-27T15:44:05+00:00","","")
RIGHT:&edit(,noicon){アビリティベクトル表を編集};

***戦闘用・ステータス変化等 [#tb_Battle]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~|COLOR(#0088CC):クリティカル％上昇|-|-|-|-|-|-|-|-|-|''8%''|
|||||||||||||
|[[白の大魔導師>IrisCard/ExIrisCard0#AC03-2030]]|&aname(tb_whiteArchmage);COLOR(#222288):防具防御力＋上昇|''+3''|+3|''+6''|+6|+6|''+10''|+10|''+13''|+13|+13|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|''+10''|+10|''+20''|+20|+20|''+80''|+80|+80|''+120''|
|~|COLOR(#AA00AA):MP回復力％上昇|-|-|-|-|''5%''|5%|5%|5%|''10%''|10%|
|||||||||||||
|[[エルヴン・ハーミット>IrisCard/ExIrisCard0#AC03-2040]]|&aname(tb_elvenHermit);COLOR(#AA00AA):MP回復力％上昇|''4%''|''6%''|6%|6%|''8%''|''10%''|10%|10%|10%|10%|
|~|COLOR(#555555):被物理ダメージ％減少|-|-|''2%''|''4%''|4%|4%|''6%''|6%|6%|6%|
|~|COLOR(#FF8800):M.ATK＋上昇|-|-|-|-|-|-|-|''+8''|+8|''+12''|
|~|COLOR(#FF8800):DEF+上昇|-|-|-|-|-|-|-|-|''+6''|+6|
|||||||||||||
|[[魔剣姫>IrisCard/ExIrisCard0#AC03-2050]]|&aname(tb_makenki);COLOR(#CC3300):武器攻撃力％上昇|''5%''|5%|''10%''|10%|''15%''|15%|''20%''|20%|''25%''|25%|
|~|COLOR(#FF8800):S.HIT値＋上昇|-|''+5''|+5|''+10''|+10|+10|+10|''+15''|+15|+15|
|~|COLOR(#FF8800):ATK値＋上昇|-|-|-|-|-|''+3''|+3|+3|+3|''+6''|
|||||||||||||
|[[大天使>IrisCard/ExIrisCard0#AC03-2060]]|&aname(tb_archangel);COLOR(#4444FF):HP最大値＋上昇|''+50''|+50|+50|+50|''+100''|+100|+100|+100|''+300''|+300|
|~|COLOR(#AA00AA):MP回復力％上昇|-|''5%''|5%|5%|5%|''10%''|10%|10%|10%|10%|
|~|COLOR(#4444FF):HP回復力％上昇|-|-|''5%''|5%|5%|5%|''10%''|10%|10%|10%|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|-|''+50''|+50|+50|+50|''+150''|+150|+150|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|-|-|-|-|-|''+1''|
//
//
***ハローキティ[#tb_HelloKitty]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[プラチナキティラー>Iris/Find/Vector#PlatinumKittira]]|&aname(tb_PlatinumKittira);COLOR(#4444FF):HP最大値％上昇|''10％''|10％|10％|10％|10％|10％|10％|10%|10%|10%|
|~|COLOR(#AA00AA):MP最大値％上昇|-|''10％''|10％|10％|10％|10％|10％|10%|10%|10%|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|''15％''|15％|15％|15％|15％|15%|15%|15%|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|-|''+500''|+500|+500|+500|+500|+500|+500|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|-|-|''+300''|+300|+300|+300|+300|+300|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|-|-|-|''+300''|+300|+300|+300|+300|
|~|COLOR(#DDA500):SP回復力％上昇|-|-|-|-|-|-|''15％''|15%|15%|15%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|-|-|-|-|-|-|''15%''|15%|15%|
|~|COLOR(#4444FF):HP回復力％上昇|-|-|-|-|-|-|-|-|''15%''|15%|
|~|COLOR(#555555):Guard率％上昇|-|-|-|-|-|-|-|-|-|''10%''|
|||||||||||||
|[[歌にかける情熱>Iris/Find/Vector#utajounetu]]|&aname(tb_utajounetu);COLOR(#CC3300):武器攻撃力＋上昇|''+7''|+7|+7|+7|+7|+7|''+15''|+15|+15|+15|
|~|COLOR(#222288):防具防御力＋上昇|-|''+7''|+7|+7|+7|+7|+7|''+15''|+15|+15|
|~|COLOR(#CC3300):武器攻撃力％上昇|-|-|''7％''|7％|7％|7％|7%|7%|''20%''|20%|
|~|COLOR(#222288):防具防御力％上昇|-|-|-|''7％''|7％|7％|7％|7%|7%|''20%''|
|~|COLOR(#555555):Guard率％上昇|-|-|-|-|''5％''|''10％''|10％|10%|10%|10%|
|||||||||||||
|[[見習い魔法使い>Iris/Find/Vector#minaraiWizard]]|&aname(tb_minaraiWizard);COLOR(#FF8800):M.DEF＋上昇|''+3''|''+7''|+7|+7|+7|+7|+7|''+13''|''+20''|+20|
|~|COLOR(#AA00AA):MP回復力％上昇|-|-|''+5''|+5|+5|''+15''|''+25''|+25|+25|+25|
|~|COLOR(#AA00AA):MP最大値％上昇|-|-|-|''+20''|+20|+20|+20|+20|+20|+20|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|-|-|''+300''|+300|+300|+300|+300|+300|
|~|COLOR(#FF6600):MAG＋上昇|-|-|-|-|-|-|-|-|-|''+1''|
|||||||||||||
|[[KM８６．０>Iris/Find/Vector#KM86]]|&aname(tb_KM86);COLOR(#FF8800):L.AVOID＋上昇|''+10''|+10|+10|+10|+10|+10|+10|''+25''|+25|+25|
|~|COLOR(#FF8800):S.AVOID＋上昇|-|''+10''|+10|+10|+10|+10|+10|+10|''+25''|+25|
|~|COLOR(#DDA500):Sp回復力＋上昇|-|-|''+5''|+5|+5|''+15''|''+25''|+25|+25|+25|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|-|''+300''|+300|+300|+300|+300|+300|+300|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|-|-|''20％''|20％|20％|20%|20%|20%|
|~|COLOR(#FF6600):AGI＋上昇|-|-|-|-|-|-|-|-|-|''+1''|
|||||||||||||
|[[キティラー・マイスター>Iris/Find/Vector#KittiraMeister]]|&aname(tb_KittiraMeister);COLOR(#66CC66):キャパシティ＋上昇|''+50''|+50|+50|+50|+50|+50|''+200''|+200|+200|+200|
|~|COLOR(#66CC66):ペイロード＋上昇|-|''+50''|+50|+50|+50|+50|+50|''+200''|+200|+200|
|~|COLOR(#66CC66):キャパシティ％上昇|-|-|''7％''|7％|7％|7％|7％|7%|''20%''|20%|
|~|COLOR(#66CC66):ペイロード％上昇|-|-|-|''7％''|7％|7％|7％|7%|7%|''20%''|
|~|COLOR(#555555):被物理ダメージ減少|-|-|-|-|''5％''|''10％''|10％|10%|10%|10%|
|||||||||||||
|[[”きゃわわ♪”なお花>Iris/Find/Vector#kyawawa]]|&aname(tb_kyawawa);COLOR(#555555):被物理ダメージ減少|''2％''|2％|''5％''|''10％''|10％|10％|10％|10%|10%|10%|
|~|COLOR(#FF0000):Lv差命中減少％軽減|-|''60％''|60％|60％|''100％''|100％|100％|100%|100%|100%|
|~|COLOR(#555555):Guard率％上昇|-|-|-|-|-|''5％''|''10％''|10%|10%|10%|
|~|COLOR(#FF8800):DEF+上昇|-|-|-|-|-|-|-|''+10''|''+20''|+20|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|-|-|-|-|''+1''|
//
//
***プロモーション[#tb_Promotion]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[悠久の楽園>IrisCard/NormalIrisCard#AC00-0002]]&br;&br;[[偽りの神と機械の記憶>IrisCard/NormalIrisCard#AC00-0005]]|&aname(tb_rakuen);&aname(tb_SAGA10);COLOR(#4444FF):HP最大値＋上昇|>|>|>|>|>|>|>|>|>|CENTER:+10|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+5|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|>|>|>|>|>|>|>|CENTER:+5|
|~|COLOR(#66CC66):キャパシティ％上昇|-|-|-|>|>|>|>|>|>|CENTER:3%|
|||||||||||||
|[[お祭り！タイニー神輿>IrisCard/NormalIrisCard#AC00-0003]]|&aname(tb_mikoshi);COLOR(#66CC66):キャパシティ％上昇|>|>|>|>|>|>|>|>|>|CENTER:1%|
|~|COLOR(#66CC66):ペイロード％上昇|-|>|>|>|>|>|>|>|>|CENTER:1%|
|~|COLOR(#4444FF):HP回復力％上昇|-|-|>|>|>|>|>|>|>|CENTER:1%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|-|-|>|>|>|>|>|>|CENTER:1%|
|~|COLOR(#DDA500):SP回復力％上昇|-|-|-|>|>|>|>|>|>|CENTER:1%|
|||||||||||||
|[[天空のオープンカフェ>IrisCard/NormalIrisCard#AC00-0006]]|&aname(tb_opencafe);COLOR(#4444FF):HP最大値％上昇|>|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#AA00AA):MP最大値％上昇|-|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#FF8800):ATK％上昇|-|-|-|>|>|>|>|>|>|CENTER:3%|
|||||||||||||
|[[ＥＣＯカー「プリムラ」>IrisCard/NormalIrisCard#AC00-0007]]|&aname(tb_ecocar);COLOR(#4444FF):HP回復力％上昇|>|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#DDA500):SP回復力％上昇|-|-|>|>|>|>|>|>|>|CENTER:5%|
|||||||||||||
|[[あそびにいくヨ！>IrisCard/NormalIrisCard#AC00-0008]]|&aname(tb_asobiniikuyo);COLOR(#4444FF):HP回復力％上昇|>|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#DDA500):SP回復力％上昇|-|-|>|>|>|>|>|>|>|CENTER:5%|
|||||||||||||
|[[超キティラー・陽夜子>IrisCard/NormalIrisCard#AC00-0009]]|&aname(tb_KittySP);COLOR(#008800):パートナー用獲得経験値上昇|CENTER:10|CENTER:15|>|>|>|>|>|>|>|CENTER:20|
|||||||||||||
|[[ヒロインズパーティ>Iris/Find/Vector#heroineparty]]|&aname(tb_heroineparty);COLOR(#66CC66):キャパシティ＋上昇|>|>|>|>|>|>|>|>|>|CENTER:+77|
|~|COLOR(#66CC66):ペイロード＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+77|
|||||||||||||
|[[みんなで転生しちゃおう！>IrisCard/NormalIrisCard#AC00-0011]]|&aname(tb_trans_cp);COLOR(#4444FF):HP最大値％上昇|>|>|>|>|>|>|>|>|>|CENTER:+5%|
|~|COLOR(#66CC66):キャパシティ％上昇|-|>|>|>|>|>|>|>|>|CENTER:+5%|
|~|COLOR(#66CC66):ペイロード％上昇|-|-|>|>|>|>|>|>|>|CENTER:+5%|
|||||||||||||
|[[仲良しノービス>IrisCard/NormalIrisCard#AC00-0012]]|&aname(tb_nakayoshiNovice);COLOR(#FF8800):ATK値＋上昇|>|>|>|>|>|>|>|>|>|CENTER:+10|
|~|COLOR(#FF6600):M.ATK値＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+10|
|~|COLOR(#FF8800):DEF＋上昇|-|-|>|>|>|>|>|>|>|CENTER:+2|
|||||||||||||
|[[ロッテのおもちゃ>IrisCard/NormalIrisCard#AC00-0013]]|&aname(tb_lotteomocha);COLOR(#008800):パートナー用獲得経験値上昇|>|CENTER:3%|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#0088CC):クリティカル％上昇|-|>|CENTER:3%|>|>|>|>|>|>|CENTER:5%|
|||||||||||||
|[[ストライクウィッチーズ>IrisCard/NormalIrisCard#AC00-0016]]|&aname(tb_strikeWitches);COLOR(#DDA500):SP回復力％上昇|>|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+10|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|>|>|>|>|>|>|>|CENTER:+10|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|-|>|>|>|>|>|>|CENTER:+10|
|||||||||||||
|[[魔法少女まどか☆マギカ>IrisCard/NormalIrisCard#AC00-0017]]|&aname(tb_madoka1);COLOR(#4444FF):HP回復力％上昇|>|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#DDA500):SP回復力％上昇|-|-|>|>|>|>|>|>|>|CENTER:5%|
|||||||||||||
|[[まどか☆マギカ>IrisCard/NormalIrisCard#AC00-0018]]|&aname(tb_madoka2);COLOR(#4444FF):HP最大値＋上昇|>|>|>|>|>|>|>|>|>|CENTER:+50|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+30|
|~|COLOR(#FF8800):M.ATK＋上昇|-|-|>|>|>|>|>|>|>|CENTER:+10|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|>|>|>|>|>|>|CENTER:+3|
|||||||||||||
|[[フェスティバル！>Iris/Find/Vector#pazdra]]|&aname(tb_pazdra);COLOR(#66CC66):キャパシティ％上昇|>|>|>|>|>|>|>|>|>|CENTER:+3%|
|~|COLOR(#4444FF):HP回復力％上昇|-|>|>|>|>|>|>|>|>|CENTER:+2%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|-|>|>|>|>|>|>|>|CENTER:+5%|
|~|COLOR(#DDA500):SP回復力％上昇|-|-|-|>|>|>|>|>|>|CENTER:+5%|
|||||||||||||
|[[にしこくん>IrisCard/NormalIrisCard#AC00-0021]]|&aname(tb_nishiko);COLOR(#66CC66):キャパシティ＋上昇|>|>|>|>|>|>|>|>|>|CENTER:+30|
|~|COLOR(#66CC66):ペイロード＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+30|
|~|COLOR(#4444FF):HP回復力％上昇|-|-|>|>|>|>|>|>|>|CENTER:5%|
|||||||||||||
|[[ＭＩＮＤ≒０>IrisCard/NormalIrisCard#AC00-0022]]|&aname(tb_mindzero);COLOR(#4444FF):HP最大値＋上昇|>|>|>|>|>|>|>|>|>|CENTER:+30|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+10|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|>|>|>|>|>|>|>|CENTER:+10|
|~|COLOR(#CC3300):人間系攻撃ダメージ上昇|-|-|-|>|>|>|>|>|>|CENTER:3%|
|||||||||||||
|[[みんなの思い出>IrisCard/NormalIrisCard#AC00-0023]]|&aname(tb_everybodysRecollections);COLOR(#AA00AA):MP最大値＋上昇|>|>|>|>|>|>|>|>|>|CENTER:+20|
|~|COLOR(#DDA500):SP最大値＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+20|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|>|>|>|>|>|>|>|CENTER:+25|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|>|>|>|>|>|>|CENTER:+25|
|||||||||||||
|[[モーレツ宇宙海賊>IrisCard/NormalIrisCard#AC00-0024]]|&aname(tb_moretsu);COLOR(#4444FF):HP最大値％上昇|>|>|>|>|>|>|>|>|>|CENTER:5%|
|~|COLOR(#AA00AA):MP最大値％上昇|-|>|>|>|>|>|>|>|>|CENTER:3%|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|>|>|>|>|>|>|>|CENTER:3%|
|||||||||||||
|[[電波教師>IrisCard/NormalIrisCard#AC00-0025]]|&aname(tb_ultimateTeacher);COLOR(#4444FF):HP最大値＋上昇|>|>|>|>|>|>|>|>|>|CENTER:+30|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+20|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|>|>|>|>|>|>|>|CENTER:+20|
|||||||||||||
|[[ECO×電波教師>IrisCard/NormalIrisCard#AC00-0026]]|&aname(tb_ecoUltimateTeacher);COLOR(#4444FF):HP最大値％上昇|>|>|>|>|>|>|>|>|>|CENTER:8%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+30|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|>|>|>|>|>|>|>|CENTER:+30|
|||||||||||||
|[[東京ザナドゥ>IrisCard/NormalIrisCard#AC00-0029]]|&aname(tb_TokyoXanado);COLOR(#FF8800):パートナー耐久力＋上昇|>|>|>|>|>|>|>|>|>|CENTER:+3|
|~|COLOR(#FF8800):パートナー精神力＋上昇|-|>|>|>|>|>|>|>|>|CENTER:+3|
|~|COLOR(#6666CC):負傷時間短縮（分）|-|-|>|>|>|>|>|>|>|CENTER:5|
|~|COLOR(#008800):獲得パートナー信頼度上昇|-|-|-|>|>|>|>|>|>|CENTER:25%|
|||||||||||||
|[[アクロニアメモリーズ>IrisCard/NormalIrisCard#AC00-0030]]|&aname(tb_AcroniaMemories);COLOR(#008800):パートナー用獲得経験値上昇|>|>|>|>|>|>|>|>|>|CENTER:30%|
|~|COLOR(#008800):獲得パートナー信頼度上昇|-|>|>|>|CENTER:20%|>|>|>|>|CENTER:30%|
|~|COLOR(#008800):獲得ページ経験値上昇|-|-|>|CENTER:1%|>|CENTER:2%|>|>|>|CENTER:3%|
|~|COLOR(#6666CC):AC入場ペナルティ時間短縮|-|-|-|>|>|>|>|>|>|CENTER:2|


////ステ上昇系ＨＰ、ＳＰ、ＭＰ
//|COLOR(#4444FF):HP最大値＋上昇|
//|COLOR(#4444FF):HP最大値％上昇|
//|COLOR(#4444FF):HP回復力％上昇|
//|COLOR(#DDA500):SP最大値＋上昇|
//|COLOR(#DDA500):SP最大値％上昇|
//|COLOR(#DDA500):SP回復力％上昇|
//|COLOR(#AA00AA):MP最大値＋上昇|
//|COLOR(#AA00AA):MP最大値％上昇|
//|COLOR(#AA00AA):MP回復力％上昇|
////ステ上昇系（支援魔法の上昇アイコンがある分類）
//|COLOR(#FF8800):ATK値＋上昇|
//|COLOR(#FF8800):ATK値％上昇|
//|COLOR(#FF8800):M.ATK＋上昇|
//|COLOR(#FF8800):M.ATK％上昇|
//|COLOR(#FF8800):DEF＋上昇|
//|COLOR(#FF8800):M.DEF＋上昇|
//|COLOR(#FF8800):S.HIT値＋上昇|
//|COLOR(#FF8800):S.HIT値％上昇|
//|COLOR(#FF8800):L.HIT値＋上昇|
//|COLOR(#FF8800):L.HIT値％上昇|
//|COLOR(#FF8800):S.AVOID＋上昇|
//|COLOR(#FF8800):L.AVOID＋上昇|
//|COLOR(#FF6600):STR＋上昇|
//|COLOR(#FF6600):DEX＋上昇|
//|COLOR(#FF6600):INT＋上昇|
//|COLOR(#FF6600):VIT＋上昇|
//|COLOR(#FF6600):MAG＋上昇|
////その他
//|COLOR(#0088CC):クリティカル％上昇|
//|COLOR(#66CC66):キャパシティ＋上昇|
//|COLOR(#66CC66):キャパシティ％上昇|
//|COLOR(#66CC66):ペイロード＋上昇|
//|COLOR(#66CC66):ペイロード％上昇|
//|COLOR(#FF0000):Lv差命中減少％軽減|
//|COLOR(#FF6600):LV差回避上昇|
//|COLOR(#FF6600):回避成功率上昇|
//|COLOR(#555555):被物理ダメージ％減少|
//|COLOR(#555555):被魔法ダメージ％減少|
//|COLOR(#555555):Guard率％上昇|
//|COLOR(#CC3300):武器攻撃力＋上昇|
//|COLOR(#CC3300):武器攻撃力％上昇|
//|COLOR(#222288):防具防御力＋上昇|
//|COLOR(#222288):防具防御力％上昇|
//|COLOR(#555555):耐久度減少確率減少|
//|COLOR(#6666CC):食べ物系アイテム効果＋上昇|
//|COLOR(#6666CC):ポーション系アイテム効果＋上昇|
//|COLOR(#555555):PT参加中被攻撃ダメージ％減少|
//|COLOR(#CC3300):PT参加中攻撃ダメージ％上昇|
//|COLOR(#555555):奈落で被攻撃ダメージ％減少|
//|COLOR(#CC3300):奈落で攻撃ダメージ％上昇|
//|COLOR(#0080C0):アビス・マター入手量＋上昇
////パートナー系
//|COLOR(#008800):パートナー用獲得経験値上昇|
//|COLOR(#008800):獲得パートナー信頼度上昇|
//|COLOR(#008800):パートナーHP最大値＋上昇|
//|COLOR(#008800):パートナー最大MP＋上昇|
//|COLOR(#008800):パートナー最大SP＋上昇|
//|COLOR(#008800):パートナーHP最大値％上昇
//|COLOR(#008800):パートナー最大MP％上昇|
//|COLOR(#008800):パートナー最大SP％上昇|
//|COLOR(#008800):パートナーHP回復率％上昇|
//|COLOR(#FF8800):パートナーATK値＋上昇|
//|COLOR(#FF8800):パートナーM.ATK値＋上昇|
//|COLOR(#FF8800):パートナーATK値％上昇|
//|COLOR(#FF8800):パートナーM.ATK値％上昇|
//|COLOR(#FF8800):パートナーDEF(-)＋上昇|
//|COLOR(#FF8800):パートナーM.DEF(-)＋上昇|
//|COLOR(#FF8800):パートナーDEF(％)＋上昇|
//|COLOR(#FF8800):パートナーM.DEF(％)＋上昇|
//|COLOR(#FF8800):パートナーS.HIT＋上昇|
//|COLOR(#FF8800):パートナーL.HIT＋上昇|
//|COLOR(#FF8800):パートナーS.HIT％上昇|
//|COLOR(#FF8800):パートナーL.HIT％上昇|
//|COLOR(#6666CC):次回食事時間％短縮|
//|COLOR(#6666CC):負傷時間短縮（分）|
////状態異常系
//|COLOR(#555555):状態異常成功率上昇|
//|COLOR(#555555):気絶耐性力上昇|
//|COLOR(#555555):気絶耐性力上昇|
//|COLOR(#555555):鈍足化耐性力上昇|
//|COLOR(#555555):混乱耐性力上昇|
////対種族系
//|COLOR(#CC3300):植物系攻撃ダメージ上昇|
//|COLOR(#CC3300):鳥系攻撃ダメージ上昇|
//|COLOR(#CC3300):動物系攻撃ダメージ上昇|
//|COLOR(#CC3300):昆虫系攻撃ダメージ上昇|
//|COLOR(#CC3300):水中生物系攻撃ダメージ上昇|
//|COLOR(#CC3300):魔法生物系攻撃ダメージ上昇|
//|COLOR(#CC3300):死霊系攻撃ダメージ上昇|
//|COLOR(#CC3300):機械系攻撃ダメージ上昇|
//|COLOR(#CC3300):人間系攻撃ダメージ上昇|
//|COLOR(#CC3300):精霊系攻撃ダメージ上昇|
//|COLOR(#CC3300):岩系攻撃ダメージ上昇|
//|COLOR(#555555):植物系被攻撃ダメージ減少|
//|COLOR(#555555):鳥系被攻撃ダメージ減少|
//|COLOR(#555555):動物系被攻撃ダメージ減少|
//|COLOR(#555555):昆虫系被攻撃ダメージ減少|
//|COLOR(#555555):水中生物系被攻撃ダメージ減少|
//|COLOR(#555555):魔法生物系被攻撃ダメージ減少|
//|COLOR(#555555):死霊系被攻撃ダメージ減少|
//|COLOR(#555555):機械系被攻撃ダメージ減少|
//|COLOR(#555555):人間系被攻撃ダメージ減少|
//|COLOR(#555555):精霊系被攻撃ダメージ減少|
//|COLOR(#555555):岩系被攻撃ダメージ減少|
//|COLOR(#0088CC):植物系クリティカル率上昇|
//|COLOR(#0088CC):鳥系クリティカル率上昇|
//|COLOR(#0088CC):動物系クリティカル率上昇|
//|COLOR(#0088CC):昆虫系クリティカル率上昇|
//|COLOR(#0088CC):水中生物系クリティカル率上昇|
//|COLOR(#0088CC):魔法生物系クリティカル率上昇|
//|COLOR(#0088CC):死霊系クリティカル率上昇|
//|COLOR(#0088CC):機械系クリティカル率上昇|
//|COLOR(#0088CC):人間系クリティカル率上昇|
//|COLOR(#0088CC):精霊系クリティカル率上昇|
//|COLOR(#0088CC):岩系クリティカル率上昇|
////
